"id","price_1","price_6","timestamp","name_id"
"1","279,95","199,95","2024-01-24 15:55:24","123"
"2","6.149,95","6.075,00","2024-01-24 15:55:24","685"
"3","79,95","39,95","2024-01-25 15:24:32","1"
"4","129,00","49,95","2024-01-25 15:24:32","2"
"5","99,95","84,95","2024-01-25 15:24:32","3"
"6","109,95","49,95","2024-01-25 15:24:32","4"
"7","129,95","49,95","2024-01-25 15:24:32","5"
"8","99,95","49,95","2024-01-25 15:24:32","6"
"9","119,95","49,95","2024-01-25 15:24:32","7"
"10","109,95","54,95","2024-01-25 15:24:32","8"
"11","129,95","56,31","2024-01-25 15:24:32","9"
"12","149,95","59,81","2024-01-25 15:24:32","10"
"13","129,95","59,95","2024-01-25 15:24:32","11"
"14","149,95","59,95","2024-01-25 15:24:32","12"
"15","169,95","119,95","2024-01-25 15:24:32","13"
"16","119,95","59,95","2024-01-25 15:24:32","14"
"17","119,95","79,95","2024-01-25 15:24:32","15"
"18","99,95","59,95","2024-01-25 15:24:32","16"
"19","99,95","59,95","2024-01-25 15:24:32","17"
"20","124,95","61,95","2024-01-25 15:24:32","18"
"21","124,95","61,95","2024-01-25 15:24:32","19"
"22","129,95","64,95","2024-01-25 15:24:32","20"
"23","99,95","64,95","2024-01-25 15:24:32","21"
"24","139,95","64,95","2024-01-25 15:24:32","22"
"25","149,95","64,95","2024-01-25 15:24:32","23"
"26","129,95","64,95","2024-01-25 15:24:32","24"
"27","149,95","66,30","2024-01-25 15:24:32","743"
"28","89,95","69,00","2024-01-25 15:24:32","25"
"29","124,95","69,95","2024-01-25 15:24:32","26"
"30","129,95","69,95","2024-01-25 15:24:32","27"
"31","129,95","69,95","2024-01-25 15:24:32","28"
"32","139,95","69,95","2024-01-25 15:24:32","29"
"33","129,95","69,95","2024-01-25 15:24:32","30"
"34","179,95","129,95","2024-01-25 15:24:32","765"
"35","149,95","89,95","2024-01-25 15:24:32","716"
"36","139,95","69,95","2024-01-25 15:24:32","31"
"37","199,95","69,95","2024-01-25 15:24:32","32"
"38","139,95","69,95","2024-01-25 15:24:32","33"
"39","169,95","69,95","2024-01-25 15:24:32","34"
"40","169,95","109,95","2024-01-25 15:24:32","742"
"41","149,95","73,56","2024-01-25 15:24:32","36"
